sample_id,model,pred_labels,manual_labels,case_d_jaccard
9,openai_gpt-5.2,"C,D,E","C,D",0.6666666666666666
12,openai_gpt-5.2,"A,B,C,D","A,C,D",0.75
13,openai_gpt-5.2,C,"C,D",0.5
16,openai_gpt-5.2,"C,D,E","C,D",0.6666666666666666
17,openai_gpt-5.2,"B,C","B,G",0.3333333333333333
20,openai_gpt-5.2,D,"C,D",0.5
28,openai_gpt-5.2,"C,D,E,F","D,F,G",0.4
35,openai_gpt-5.2,"D,E,G","C,D,E",0.5
36,openai_gpt-5.2,"B,C,E","C,D",0.25
40,openai_gpt-5.2,"B,C,G","C,E",0.25
41,openai_gpt-5.2,"C,D,G","C,D",0.6666666666666666
44,openai_gpt-5.2,"C,D,F","C,D",0.6666666666666666
45,openai_gpt-5.2,"A,B,C","B,C",0.6666666666666666
49,openai_gpt-5.2,"A,B,D,G","B,C,D",0.4
50,openai_gpt-5.2,"B,C,D,F,G","B,C,D,F",0.8
51,openai_gpt-5.2,"B,C,F","C,D,F,G",0.4
53,openai_gpt-5.2,D,"C,D",0.5
54,openai_gpt-5.2,"D,G","C,D",0.3333333333333333
56,openai_gpt-5.2,"C,D,E","C,D,G",0.5
57,openai_gpt-5.2,"D,F,G","C,D,G",0.5
60,openai_gpt-5.2,"A,C,D,F","C,D,F",0.75
63,openai_gpt-5.2,"B,C,D","C,D",0.6666666666666666
65,openai_gpt-5.2,"F,G","C,G",0.3333333333333333
72,openai_gpt-5.2,"C,D,F","C,G",0.25
73,openai_gpt-5.2,"C,D,G","C,D",0.6666666666666666
76,openai_gpt-5.2,C,"C,G",0.5
77,openai_gpt-5.2,"C,D,E,F","C,D,F,G",0.6
78,openai_gpt-5.2,"B,C,D,G","D,G",0.5
79,openai_gpt-5.2,"A,D","C,D,E",0.25
80,openai_gpt-5.2,"C,D,F,G","C,G",0.5
81,openai_gpt-5.2,"B,C,D,G","C,D,G",0.75
82,openai_gpt-5.2,C,"C,G",0.5
84,openai_gpt-5.2,"A,B","B,C,G",0.25
86,openai_gpt-5.2,B,"B,F,G",0.3333333333333333
90,openai_gpt-5.2,"D,F","C,D,F",0.6666666666666666
93,openai_gpt-5.2,"A,F,G","C,D,F,G",0.4
94,openai_gpt-5.2,"B,C","A,B,G",0.25
95,openai_gpt-5.2,"A,B,C,E,G","A,B,E,G",0.8
97,openai_gpt-5.2,A,"A,C,G",0.3333333333333333
98,openai_gpt-5.2,"A,B,C,E,G","A,C,G",0.6
100,openai_gpt-5.2,"B,C,F","B,C,G",0.5
5,openai_gpt-oss-120b,"A,F,G","D,G",0.25
9,openai_gpt-oss-120b,C,"C,D",0.5
12,openai_gpt-oss-120b,"A,C,D,G","A,C,D",0.75
13,openai_gpt-oss-120b,C,"C,D",0.5
28,openai_gpt-oss-120b,"C,D,F,G","D,F,G",0.75
29,openai_gpt-oss-120b,"D,E,G","C,D,E",0.5
34,openai_gpt-oss-120b,"A,C,G","C,D",0.25
35,openai_gpt-oss-120b,"E,F","C,D,E",0.25
36,openai_gpt-oss-120b,"B,C,E,G","C,D",0.2
38,openai_gpt-oss-120b,"C,D,G","C,D",0.6666666666666666
41,openai_gpt-oss-120b,"D,G","C,D",0.3333333333333333
44,openai_gpt-oss-120b,"C,D,F","C,D",0.6666666666666666
45,openai_gpt-oss-120b,"A,B,C","B,C",0.6666666666666666
49,openai_gpt-oss-120b,"A,B,C,D,G","B,C,D",0.6
50,openai_gpt-oss-120b,"B,C,D,F,G","B,C,D,F",0.8
51,openai_gpt-oss-120b,"B,C,F","C,D,F,G",0.4
56,openai_gpt-oss-120b,D,"C,D,G",0.3333333333333333
57,openai_gpt-oss-120b,"D,F,G","C,D,G",0.5
60,openai_gpt-oss-120b,"A,C,E,F","C,D,F",0.4
63,openai_gpt-oss-120b,"B,C,G","C,D",0.25
65,openai_gpt-oss-120b,"F,G","C,G",0.3333333333333333
67,openai_gpt-oss-120b,G,"C,G",0.5
69,openai_gpt-oss-120b,"A,E,G","C,G",0.25
72,openai_gpt-oss-120b,"C,D,F","C,G",0.25
75,openai_gpt-oss-120b,"A,D","C,D",0.3333333333333333
76,openai_gpt-oss-120b,C,"C,G",0.5
77,openai_gpt-oss-120b,"D,E","C,D,F,G",0.2
78,openai_gpt-oss-120b,"B,C,D,G","D,G",0.5
79,openai_gpt-oss-120b,"A,D","C,D,E",0.25
80,openai_gpt-oss-120b,"C,D","C,G",0.3333333333333333
81,openai_gpt-oss-120b,"B,C,D,G","C,D,G",0.75
82,openai_gpt-oss-120b,C,"C,G",0.5
84,openai_gpt-oss-120b,"A,B","B,C,G",0.25
86,openai_gpt-oss-120b,B,"B,F,G",0.3333333333333333
90,openai_gpt-oss-120b,"D,F","C,D,F",0.6666666666666666
91,openai_gpt-oss-120b,F,"D,F",0.5
93,openai_gpt-oss-120b,"D,F","C,D,F,G",0.5
94,openai_gpt-oss-120b,"B,C,G","A,B,G",0.5
95,openai_gpt-oss-120b,"A,B,C,G","A,B,E,G",0.6
97,openai_gpt-oss-120b,A,"A,C,G",0.3333333333333333
98,openai_gpt-oss-120b,"A,B,C,E,G","A,C,G",0.6
100,openai_gpt-oss-120b,"B,C","B,C,G",0.6666666666666666
5,anthropic_claude-sonnet-4.5,"A,D,F,G","D,G",0.5
9,anthropic_claude-sonnet-4.5,C,"C,D",0.5
12,anthropic_claude-sonnet-4.5,"A,B,C,D,E,G","A,C,D",0.5
13,anthropic_claude-sonnet-4.5,C,"C,D",0.5
16,anthropic_claude-sonnet-4.5,C,"C,D",0.5
17,anthropic_claude-sonnet-4.5,"C,G","B,G",0.3333333333333333
18,anthropic_claude-sonnet-4.5,"C,D,E","C,D",0.6666666666666666
20,anthropic_claude-sonnet-4.5,D,"C,D",0.5
28,anthropic_claude-sonnet-4.5,"B,C,D,E,G","D,F,G",0.3333333333333333
29,anthropic_claude-sonnet-4.5,"C,E,G","C,D,E",0.5
31,anthropic_claude-sonnet-4.5,"B,D,G","D,G",0.6666666666666666
34,anthropic_claude-sonnet-4.5,"A,C,G","C,D",0.25
35,anthropic_claude-sonnet-4.5,"C,D,G","C,D,E",0.5
36,anthropic_claude-sonnet-4.5,"C,E,G","C,D",0.25
40,anthropic_claude-sonnet-4.5,"A,B,C,G","C,E",0.2
41,anthropic_claude-sonnet-4.5,"A,C,G","C,D",0.25
44,anthropic_claude-sonnet-4.5,"D,F","C,D",0.3333333333333333
45,anthropic_claude-sonnet-4.5,"A,B,C","B,C",0.6666666666666666
46,anthropic_claude-sonnet-4.5,F,"D,F",0.5
49,anthropic_claude-sonnet-4.5,"A,B,C,G","B,C,D",0.4
50,anthropic_claude-sonnet-4.5,"A,B,C,D,F,G","B,C,D,F",0.6666666666666666
51,anthropic_claude-sonnet-4.5,"B,C,F","C,D,F,G",0.4
54,anthropic_claude-sonnet-4.5,D,"C,D",0.5
56,anthropic_claude-sonnet-4.5,"B,C,D,E","C,D,G",0.4
60,anthropic_claude-sonnet-4.5,"A,C,G","C,D,F",0.2
65,anthropic_claude-sonnet-4.5,"C,D,F,G","C,G",0.5
67,anthropic_claude-sonnet-4.5,G,"C,G",0.5
73,anthropic_claude-sonnet-4.5,"B,C,D","C,D",0.6666666666666666
75,anthropic_claude-sonnet-4.5,"A,C,E","C,D",0.25
76,anthropic_claude-sonnet-4.5,C,"C,G",0.5
77,anthropic_claude-sonnet-4.5,"C,D,E,F,G","C,D,F,G",0.8
78,anthropic_claude-sonnet-4.5,"B,C,D,G","D,G",0.5
80,anthropic_claude-sonnet-4.5,"C,D,E,G","C,G",0.5
81,anthropic_claude-sonnet-4.5,"C,D,E,G","C,D,G",0.75
82,anthropic_claude-sonnet-4.5,C,"C,G",0.5
84,anthropic_claude-sonnet-4.5,"A,B,C","B,C,G",0.5
86,anthropic_claude-sonnet-4.5,B,"B,F,G",0.3333333333333333
90,anthropic_claude-sonnet-4.5,"D,F","C,D,F",0.6666666666666666
91,anthropic_claude-sonnet-4.5,F,"D,F",0.5
94,anthropic_claude-sonnet-4.5,"B,C,G","A,B,G",0.5
95,anthropic_claude-sonnet-4.5,"A,B,C,G","A,B,E,G",0.6
97,anthropic_claude-sonnet-4.5,"A,C","A,C,G",0.6666666666666666
98,anthropic_claude-sonnet-4.5,"A,B,C,E,G","A,C,G",0.6
100,anthropic_claude-sonnet-4.5,"B,C,D","B,C,G",0.5
5,openai_gpt-5.2,"A,D,F,G","D,G",0.5
12,openai_gpt-5.2,"A,B,C,D","A,C,D",0.75
13,openai_gpt-5.2,C,"C,D",0.5
16,openai_gpt-5.2,"C,D,E","C,D",0.6666666666666666
17,openai_gpt-5.2,"B,C","B,G",0.3333333333333333
20,openai_gpt-5.2,D,"C,D",0.5
28,openai_gpt-5.2,"C,D,E,F,G","D,F,G",0.6
35,openai_gpt-5.2,"D,E,F","C,D,E",0.5
36,openai_gpt-5.2,"B,C,D","C,D",0.6666666666666666
38,openai_gpt-5.2,"C,D,G","C,D",0.6666666666666666
40,openai_gpt-5.2,"B,C,G","C,E",0.25
41,openai_gpt-5.2,"C,D,G","C,D",0.6666666666666666
44,openai_gpt-5.2,"C,D,F","C,D",0.6666666666666666
45,openai_gpt-5.2,"A,C","B,C",0.3333333333333333
49,openai_gpt-5.2,"A,B,C,D,G","B,C,D",0.6
51,openai_gpt-5.2,"B,C,F","C,D,F,G",0.4
53,openai_gpt-5.2,D,"C,D",0.5
54,openai_gpt-5.2,D,"C,D",0.5
56,openai_gpt-5.2,"D,E","C,D,G",0.25
57,openai_gpt-5.2,"D,F,G","C,D,G",0.5
60,openai_gpt-5.2,"C,D,E,F,G","C,D,F",0.6
63,openai_gpt-5.2,"B,C,D","C,D",0.6666666666666666
65,openai_gpt-5.2,"F,G","C,G",0.3333333333333333
72,openai_gpt-5.2,"C,D","C,G",0.3333333333333333
75,openai_gpt-5.2,"A,C,D","C,D",0.6666666666666666
76,openai_gpt-5.2,C,"C,G",0.5
77,openai_gpt-5.2,"C,D,E,F","C,D,F,G",0.6
78,openai_gpt-5.2,"B,D","D,G",0.3333333333333333
79,openai_gpt-5.2,"A,D","C,D,E",0.25
80,openai_gpt-5.2,"C,D,E,F,G","C,G",0.4
81,openai_gpt-5.2,"B,C,D","C,D,G",0.5
82,openai_gpt-5.2,C,"C,G",0.5
84,openai_gpt-5.2,"A,B","B,C,G",0.25
86,openai_gpt-5.2,"B,D","B,F,G",0.25
90,openai_gpt-5.2,"D,F","C,D,F",0.6666666666666666
91,openai_gpt-5.2,F,"D,F",0.5
93,openai_gpt-5.2,"A,F,G","C,D,F,G",0.4
94,openai_gpt-5.2,"B,C","A,B,G",0.25
95,openai_gpt-5.2,"A,B,C,G","A,B,E,G",0.6
97,openai_gpt-5.2,A,"A,C,G",0.3333333333333333
98,openai_gpt-5.2,"A,B,C,E,G","A,C,G",0.6
100,openai_gpt-5.2,"B,C,F,G","B,C,G",0.75
5,openai_gpt-oss-120b,"A,F,G","D,G",0.25
9,openai_gpt-oss-120b,C,"C,D",0.5
12,openai_gpt-oss-120b,"A,B,C,D","A,C,D",0.75
13,openai_gpt-oss-120b,C,"C,D",0.5
16,openai_gpt-oss-120b,"B,C,D","C,D",0.6666666666666666
28,openai_gpt-oss-120b,"C,D,E,G","D,F,G",0.4
29,openai_gpt-oss-120b,"C,E","C,D,E",0.6666666666666666
35,openai_gpt-oss-120b,"C,D,E,F","C,D,E",0.75
36,openai_gpt-oss-120b,"B,C,G","C,D",0.25
38,openai_gpt-oss-120b,"A,C","C,D",0.3333333333333333
41,openai_gpt-oss-120b,"D,G","C,D",0.3333333333333333
44,openai_gpt-oss-120b,"D,F,G","C,D",0.25
45,openai_gpt-oss-120b,"A,B,G","B,C",0.25
49,openai_gpt-oss-120b,"B,C,D,G","B,C,D",0.75
50,openai_gpt-oss-120b,"B,C,D,E,F,G","B,C,D,F",0.6666666666666666
51,openai_gpt-oss-120b,"B,C,F","C,D,F,G",0.4
54,openai_gpt-oss-120b,D,"C,D",0.5
56,openai_gpt-oss-120b,C,"C,D,G",0.3333333333333333
57,openai_gpt-oss-120b,"D,F,G","C,D,G",0.5
60,openai_gpt-oss-120b,"A,B,C,D,E,F,G","C,D,F",0.4285714285714285
63,openai_gpt-oss-120b,"B,C","C,D",0.3333333333333333
65,openai_gpt-oss-120b,"C,F,G","C,G",0.6666666666666666
67,openai_gpt-oss-120b,G,"C,G",0.5
72,openai_gpt-oss-120b,"C,D","C,G",0.3333333333333333
73,openai_gpt-oss-120b,"A,B,D,F,G","C,D",0.1666666666666666
75,openai_gpt-oss-120b,"A,D","C,D",0.3333333333333333
76,openai_gpt-oss-120b,C,"C,G",0.5
77,openai_gpt-oss-120b,"C,D,E","C,D,F,G",0.4
78,openai_gpt-oss-120b,"C,D,G","D,G",0.6666666666666666
79,openai_gpt-oss-120b,"A,D,E","C,D,E",0.5
80,openai_gpt-oss-120b,"C,D","C,G",0.3333333333333333
82,openai_gpt-oss-120b,C,"C,G",0.5
84,openai_gpt-oss-120b,"A,B,G","B,C,G",0.5
86,openai_gpt-oss-120b,B,"B,F,G",0.3333333333333333
90,openai_gpt-oss-120b,"D,F","C,D,F",0.6666666666666666
91,openai_gpt-oss-120b,F,"D,F",0.5
93,openai_gpt-oss-120b,"C,G","C,D,F,G",0.5
94,openai_gpt-oss-120b,"B,G","A,B,G",0.6666666666666666
95,openai_gpt-oss-120b,"B,C,G","A,B,E,G",0.4
97,openai_gpt-oss-120b,A,"A,C,G",0.3333333333333333
98,openai_gpt-oss-120b,"A,B,C,E,G","A,C,G",0.6
